,id,name,popularity,type,is_local,explicit,duration_ms,disc_number,track_number,artist_id,artist_name,album_artist_id,album_artist_name,album_id,album_name,album_release_date,album_tracks,album_type
527,5IKWRPO5NGaeNIXF4rkbfZ,La musica non c'è,0,track,False,False,222786,1,6,5dXlc7MnpaTeUIsHLVe3n4,Coez,5dXlc7MnpaTeUIsHLVe3n4,Coez,252to0gj446XAnuyQ53OOt,Faccio un casino,2017-05-05,12,album
528,2FBUoWkIuQXwayw2RNo5l6,Hotline Bling,0,track,False,False,267066,1,20,3TVXtAsR1Inumwj472S9r4,Drake,3TVXtAsR1Inumwj472S9r4,Drake,3hARKC8cinq3mZLLAEaBh9,Views,2016-05-06,20,album
529,34a0FDyf33rhfoR8rC8ssi,Glock Six - Bonus,0,track,False,False,190843,1,12,4IVAbR2w4JJNJDDRFP3E83,6LACK,4IVAbR2w4JJNJDDRFP3E83,6LACK,43wDrqtbTZnUibro4VteOq,FREE 6LACK,2016-11-18,14,album
530,0MIvebihLNFaMwDrtZg2RX,In Between (feat. BANKS) - Bonus,0,track,False,False,205500,1,13,4IVAbR2w4JJNJDDRFP3E83,6LACK,4IVAbR2w4JJNJDDRFP3E83,6LACK,43wDrqtbTZnUibro4VteOq,FREE 6LACK,2016-11-18,14,album
531,2zMgOf7wtkE7uWJhZpp0yF,One Way (feat. T-Pain) - Bonus,0,track,False,True,286956,1,14,4IVAbR2w4JJNJDDRFP3E83,6LACK,4IVAbR2w4JJNJDDRFP3E83,6LACK,43wDrqtbTZnUibro4VteOq,FREE 6LACK,2016-11-18,14,album
532,4nnu4hEwa5oejaEMpizXxY,Ti Fa Stare Bene,0,track,False,False,250893,1,8,4l0PmbNvFq3m5JaUuAPbcB,Caparezza,4l0PmbNvFq3m5JaUuAPbcB,Caparezza,4WzSKU1xTFkWlEjLxs9X7A,Prisoner 709,2017-09-15,16,album
533,1ZvVuMyus328QRAkiMAc00,Lost In The Weekend,49,track,False,False,234933,1,24,396Jr76018oUMR6QBnqT8T,Cesare Cremonini,396Jr76018oUMR6QBnqT8T,Cesare Cremonini,7rGhalMtF2mZM5bhq88VZ3,Più Che Logico,2015-05-26,26,album
534,1t0UbGPCjGpLeH7KiLBuBv,She's On My Mind,0,track,False,False,177947,1,7,4kYGAK2zu9EAomwj3hXkXy,JP Cooper,4kYGAK2zu9EAomwj3hXkXy,JP Cooper,3WEeVvwxDad8bPd9ESOeuF,Raised Under Grey Skies,2017-10-06,13,album
535,3IamuFwzN2R8H7MwOWZyPj,Danilo Gallinari Anthem,0,track,False,False,237346,1,1,2apuvIQ4zTpyJrJQOgV8Cr,Italian Stallions,2apuvIQ4zTpyJrJQOgV8Cr,Italian Stallions,0g4I1fW74eckxtKIrqw0Xx,Danilo Gallinari Anthem,2017-10-13,1,album
536,43ZyHQITOjhciSUUNPVRHc,Gucci Gang,68,track,False,True,124055,1,2,3wyVrVrFCkukjdVIdirGVY,Lil Pump,3wyVrVrFCkukjdVIdirGVY,Lil Pump,2VVvm4zJlUQm9XmBCvGN6z,Lil Pump,2017-10-06,15,album
537,0mel2N9Ws9r4yLQn5QE21Y,Too Good At Goodbyes - Edit,0,track,False,False,201000,1,1,2wY79sveU1sp5g7SokKOiI,Sam Smith,2wY79sveU1sp5g7SokKOiI,Sam Smith,7oiRNdTfUWmsx6DAjEe7DB,Too Good At Goodbyes,2017-09-08,1,album
538,1CWi8jhnBTMkisMXmoeLMY,Super Saiyan,32,track,False,False,198582,1,1,2OUYh468x8oK04f2azuxGu,Zo,2OUYh468x8oK04f2azuxGu,Zo,15WQvkVCAI5uZ6YOT4tveI,Super Saiyan,2017-10-20,1,album
539,0OrdWM6ZAWvU4JctmGxzSo,"Vedrai, vedrai",43,track,False,False,148386,1,11,4F9VFl80sWpvTfXwLJZbhK,Luigi Tenco,0LyfQWJT6nXafLPZqxe9Of,Various Artists,4Xg5Wkm15BuAJASLssgPPo,Italia Amore Mio,2015-05-01,15,album
540,6XPOY3MxYArU6xvkB3BMkU,Never Enough,0,track,False,True,298520,1,9,7pbDxGE6nQSZVfiFdq9lOL,Rex Orange County,7pbDxGE6nQSZVfiFdq9lOL,Rex Orange County,57940owvO9Fl8aoos1oIG2,Apricot Princess,2017-04-26,10,album
